Date,Unemployment-Rate,Unemployment-Rate-AfricanAmerican,Unemployment-Rate-Hispanic,Unemployment-Rate-White,Unemployment-Rate-Asian,Unemployment-Rate-Women,Unemployment-Rate-Men,Percent-JobLosers,Covid Cases,Avg.Weekly.Hrs.Private,Avg.Weekly.Hrs.Education.Health,Avg.Weekly.Hrs.Financial,Avg.Weekly.Hrs.Leisure.Hospitality,Avg.Weekly.Hrs.Transportation.Wearhousing,UnemploymentRate.Married
01/01/2019,4,6.9,4.8,3.5,3,3.6,3.6,2.3,0,34.5,33,37.7,26.1,38.7,2.2
01/02/2019,3.8,7,4.3,3.2,3.1,3.4,3.4,2,0,34.4,33,37.7,26,38.6,2
01/03/2019,3.8,6.5,4.5,3.3,3.1,3.4,3.6,1.9,0,34.5,33,37.7,26.1,38.7,2.1
01/04/2019,3.7,6.6,4.1,3.2,2.3,3.2,3.5,1.5,0,34.5,33,37.7,26.1,38.7,2.2
01/05/2019,3.7,6.1,4.1,3.3,2.5,3.3,3.4,1.4,0,34.4,33,37.7,26,38.6,2
01/06/2019,3.6,6,4.3,3.3,2.2,3.3,3.3,1.6,0,34.5,33,37.7,26.1,38.7,2.1
01/07/2019,3.6,5.6,4.4,3.3,2.8,3.3,3.4,1.8,0,34.4,33,37.7,25.9,38.7,1.8
01/08/2019,3.7,5.2,4.2,3.4,2.8,3.3,3.4,1.8,0,34.4,33,37.6,25.8,38.6,2
01/09/2019,3.5,5.4,4,3.2,2.5,3,3.3,1.4,0,34.4,33,37.5,25.9,38.5,2.1
01/10/2019,3.6,5.6,4.2,3.3,2.9,3.2,3.3,1.4,0,34.3,32.9,37.6,25.8,38.4,2
01/11/2019,3.6,5.7,4.3,3.3,2.6,3.3,3.2,1.6,0,34.4,33,37.7,25.8,38.3,2
01/12/2019,3.6,6.2,4.3,3.1,2.6,3.3,3.1,1.7,0,34.4,33,37.6,25.9,38.5,1.9
01/01/2020,3.5,6.1,4.3,3,3.1,3.2,3.1,2,47,34.4,33,37.7,25.9,38.4,2
01/02/2020,3.5,6,4.4,3,2.4,3.1,3.2,1.9,186620,34.3,33,37.7,25.9,38.3,2.1
01/03/2020,4.4,6.8,6,3.9,4.1,4,4.1,2.7,874626,34.3,33,37.7,25.9,38.3,1.9
01/04/2020,14.8,16.7,18.9,14.1,14.5,15.5,13.1,13.1,723043,34.4,33.1,37.6,25.8,38.3,2.1
01/05/2020,13.3,16.7,17.6,12.3,14.9,13.9,11.6,11.3,840920,34.1,33,37.6,24.1,38,2.6
01/06/2020,11.1,15.3,14.5,10.1,13.9,11.3,10.2,8.8,1912194,34.2,32.7,37.6,24.2,37.3,11.1
01/07/2020,10.2,14.4,12.7,9.2,11.9,10.4,9.4,8.1,1452052,34.7,32.9,37.7,25.9,37.9,9.7
01/08/2020,8.4,12.8,10.5,7.4,10.6,8.3,8,6.4,1903188,34.6,33.1,37.5,25.7,38.2,7.8
01/09/2010,7.8,12,10.3,7,8.8,7.7,7.3,5.5,4403551,34.6,33.4,37.6,25.5,38.4,7.3
01/10/2020,6.9,10.8,8.8,6,7.6,6.5,6.7,4.5,6380365,34.7,33.4,37.6,25.8,38.5,5.6
01/11/2020,6.7,10.3,8.4,5.9,6.7,6.2,6.6,4.5,6091241,34.8,33.5,37.6,26.1,38.7,5.3
01/12/2020,6.7,9.9,9.3,6,5.9,6.3,6.4,4.5,2352889,34.8,33.5,37.7,26,39,4.4
01/01/2021,6.3,9.2,8.6,5.7,6.6,6,6,4.8,1769320,34.8,33.4,37.8,25.7,39,4.3
01/02/2021,6.2,9.9,8.5,5.6,5.1,5.9,6,4.4,1133851,35,33.7,37.8,25.8,39,4.1
01/03/2021,6,9.6,7.9,5.4,6,5.7,5.8,4,1579282,34.6,33.3,37.7,25.3,38.7,4
