x1,x2
1/2/2020,"41,106.97"
1/3/2020,"40,499.15"
1/6/2020,"41,469.66"
1/7/2020,"41,115.71"
1/8/2020,"41,016.02"
1/9/2020,"42,035.70"
1/10/2020,"42,740.38"
1/13/2020,"42,017.78"
1/14/2020,"41,633.73"
1/15/2020,"41,246.19"
1/16/2020,"42,362.34"
1/17/2020,"42,339.82"
1/20/2020,"43,054.01"
1/21/2020,"41,485.86"
1/22/2020,"42,002.34"
1/23/2020,"41,140.21"
1/24/2020,"39,917.82"
1/27/2020,"39,604.57"
1/28/2020,"40,829.70"
1/29/2020,"40,341.42"
1/30/2020,"40,394.95"
1/31/2020,"40,105.04"
2/3/2020,"41,577.06"
2/4/2020,"41,033.79"
2/5/2020,"40,767.10"
2/6/2020,"40,906.09"
2/7/2020,"41,213.89"
2/10/2020,"41,052.95"
2/11/2020,"39,824.50"
2/12/2020,"39,936.15"
2/13/2020,"38,669.46"
2/14/2020,"38,647.68"
2/17/2020,"39,200.25"
2/18/2020,"38,156.95"
2/19/2020,"38,390.84"
2/20/2020,"38,961.41"
2/21/2020,"38,602.48"
2/26/2020,"36,422.24"
2/27/2020,"35,387.05"
2/28/2020,"34,973.18"
3/2/2020,"36,253.25"
3/3/2020,"35,999.22"
3/4/2020,"37,243.36"
3/5/2020,"36,772.20"
3/6/2020,"35,222.43"
3/9/2020,"30,379.90"
3/10/2020,"32,832.26"
3/11/2020,"31,419.60"
3/12/2020,"28,351.89"
3/13/2020,"28,447.97"
3/16/2020,"25,697.51"
3/17/2020,"25,823.47"
3/18/2020,"22,087.13"
3/19/2020,"22,656.43"
3/20/2020,"23,890.35"
3/25/2020,"26,338.03"
3/26/2020,"25,483.94"
3/27/2020,"24,058.60"
3/30/2020,"24,384.24"
4/1/2020,"25,324.28"
4/2/2020,"26,003.28"
4/3/2020,"26,505.41"
4/6/2020,"26,922.59"
4/7/2020,"26,696.10"
4/8/2020,"28,017.59"
4/13/2020,"28,880.64"
4/14/2020,"30,781.55"
4/15/2020,"32,070.67"
4/16/2020,"30,077.72"
4/17/2020,"29,883.27"
4/20/2020,"30,535.73"
4/21/2020,"30,237.08"
4/22/2020,"30,554.88"
4/23/2020,"30,378.94"
4/24/2020,"29,258.10"
4/27/2020,"29,986.23"
4/28/2020,"33,064.84"
4/29/2020,"33,185.05"
4/30/2020,"32,742.84"
5/4/2020,"32,387.28"
5/5/2020,"33,546.52"
5/6/2020,"34,158.89"
5/7/2020,"35,850.21"
5/8/2020,"36,183.90"
5/11/2020,"38,581.60"
5/12/2020,"39,133.71"
5/13/2020,"37,842.81"
5/14/2020,"39,225.67"
5/15/2020,"39,388.33"
5/18/2020,"40,286.72"
5/19/2020,"39,388.72"
5/20/2020,"39,809.16"
5/21/2020,"41,388.50"
5/22/2020,"40,962.74"
5/26/2020,"41,060.27"
5/27/2020,"40,431.57"
5/28/2020,"38,985.82"
5/29/2020,"37,824.73"
6/1/2020,"40,016.98"
6/2/2020,"42,037.56"
6/3/2020,"43,853.06"
6/4/2020,"43,676.18"
6/5/2020,"45,128.75"
6/8/2020,"48,881.18"
6/9/2020,"46,471.06"
6/10/2020,"46,476.07"
6/11/2020,"43,057.94"
6/12/2020,"43,417.15"
6/16/2020,"42,686.08"
6/17/2020,"40,471.15"
6/18/2020,"37,990.59"
6/19/2020,"40,951.45"
6/22/2020,"40,344.32"
6/23/2020,"40,803.56"
6/24/2020,"40,435.34"
6/25/2020,"41,996.65"
6/26/2020,"40,589.89"
6/29/2020,"40,308.11"
6/30/2020,"38,686.69"
7/1/2020,"39,846.74"
7/2/2020,"39,500.85"
