x1,x2
1/2/2020,"118,573"
1/3/2020,"117,707"
1/6/2020,"116,878"
1/7/2020,"116,662"
1/8/2020,"116,247"
1/9/2020,"115,947"
1/10/2020,"115,503"
1/13/2020,"117,325"
1/14/2020,"117,632"
1/15/2020,"116,414"
1/16/2020,"116,704"
1/17/2020,"118,478"
1/20/2020,"118,862"
1/21/2020,"117,026"
1/22/2020,"118,391"
1/23/2020,"119,528"
1/24/2020,"118,376"
1/27/2020,"114,482"
1/28/2020,"116,479"
1/29/2020,"115,385"
1/30/2020,"115,528"
1/31/2020,"113,761"
2/3/2020,"114,629"
2/4/2020,"115,557"
2/5/2020,"116,028"
2/6/2020,"115,190"
2/7/2020,"113,770"
2/10/2020,"112,570"
2/11/2020,"115,371"
2/12/2020,"116,674"
2/13/2020,"115,662"
2/14/2020,"114,381"
2/17/2020,"115,309"
2/18/2020,"114,977"
2/19/2020,"116,518"
2/20/2020,"114,586"
2/21/2020,"113,681"
2/27/2020,"102,984"
2/28/2020,"104,172"
3/2/2020,"106,625"
3/3/2020,"105,537"
3/4/2020,"107,224"
3/5/2020,"102,233"
3/6/2020,"97,997"
3/9/2020,"86,067"
3/10/2020,"92,214"
3/11/2020,"85,171"
3/12/2020,"72,583"
3/13/2020,"82,678"
3/16/2020,"71,168"
3/17/2020,"74,617"
3/18/2020,"66,895"
3/19/2020,"68,332"
3/20/2020,"67,069"
3/23/2020,"63,570"
3/24/2020,"69,729"
3/25/2020,"74,956"
3/26/2020,"77,710"
3/27/2020,"73,429"
3/30/2020,"74,640"
3/31/2020,"73,020"
4/1/2020,"70,967"
4/2/2020,"72,253"
4/3/2020,"69,538"
4/6/2020,"74,073"
4/7/2020,"76,358"
4/8/2020,"78,625"
4/9/2020,"77,682"
4/13/2020,"78,836"
4/14/2020,"79,918"
4/15/2020,"78,831"
4/16/2020,"77,812"
4/17/2020,"78,990"
4/20/2020,"78,973"
4/22/2020,"80,687"
4/23/2020,"79,673"
4/24/2020,"75,331"
4/27/2020,"78,239"
4/28/2020,"81,312"
4/29/2020,"83,171"
4/30/2020,"80,506"
5/4/2020,"78,876"
5/5/2020,"79,471"
5/6/2020,"79,064"
5/7/2020,"78,119"
5/8/2020,"80,263"
5/11/2020,"79,065"
5/12/2020,"77,872"
5/13/2020,"77,772"
5/14/2020,"79,011"
5/15/2020,"77,557"
5/18/2020,"81,194"
5/19/2020,"80,742"
5/20/2020,"81,319"
5/21/2020,"83,027"
5/22/2020,"82,173"
5/25/2020,"85,663"
5/26/2020,"85,469"
5/27/2020,"87,946"
5/28/2020,"86,949"
5/29/2020,"87,403"
6/1/2020,"88,620"
6/2/2020,"91,046"
6/3/2020,"93,002"
6/4/2020,"93,829"
6/5/2020,"94,637"
6/8/2020,"97,645"
6/9/2020,"96,747"
6/10/2020,"94,686"
6/12/2020,"92,795"
6/15/2020,"92,376"
6/16/2020,"93,531"
6/17/2020,"95,547"
6/18/2020,"96,125"
6/19/2020,"96,572"
6/22/2020,"95,336"
6/23/2020,"95,975"
6/24/2020,"94,377"
6/25/2020,"95,983"
6/26/2020,"93,834"
6/29/2020,"95,735"
6/30/2020,"95,056"
7/1/2020,"96,203"
7/2/2020,"96,235"
7/3/2020,"96,765"
7/6/2020,"98,937"
7/7/2020,"97,761"
7/8/2020,"99,770"
7/9/2020,"99,160"
7/10/2020,"100,032"
7/13/2020,"98,697"
7/14/2020,"100,440"
7/15/2020,"101,791"
7/16/2020,"100,553"
7/17/2020,"102,888"
7/20/2020,"104,426"
7/21/2020,"104,310"
7/22/2020,"104,290"
7/23/2020,"102,293"
7/24/2020,"102,382"
7/27/2020,"104,477"
7/28/2020,"104,109"
7/29/2020,"105,605"
7/30/2020,"105,009"
7/31/2020,"102,912"
8/3/2020,"102,830"
8/4/2020,"101,216"
8/5/2020,"102,802"
8/6/2020,"104,126"
8/7/2020,"102,776"
8/10/2020,"103,444"
8/11/2020,"102,174"
8/12/2020,"102,118"
8/13/2020,"100,461"
8/17/2020,"99,595"
8/18/2020,"102,065"
8/19/2020,"100,854"
8/20/2020,"101,468"
8/21/2020,"101,521"
8/24/2020,"102,298"
8/25/2020,"102,118"
8/26/2020,"100,627"
8/27/2020,"100,624"
8/28/2020,"102,143"
8/31/2020,"99,369"
9/1/2020,"102,168"
9/2/2020,"101,911"
9/3/2020,"100,721"
9/4/2020,"101,242"
9/8/2020,"100,050"
9/9/2020,"101,292"
9/10/2020,"98,835"
9/11/2020,"98,363"
9/14/2020,"100,275"
9/15/2020,"100,298"
9/16/2020,"99,676"
9/17/2020,"100,098"
9/18/2020,"98,290"
9/21/2020,"96,991"
9/22/2020,"97,294"
9/23/2020,"95,735"
9/24/2020,"97,012"
9/25/2020,"96,999"
9/28/2020,"94,666"
9/29/2020,"93,580"
9/30/2020,"94,603"
10/1/2020,"95,479"
10/2/2020,"94,016"
10/5/2020,"96,089"
10/6/2020,"95,615"
10/7/2020,"95,526"
10/8/2020,"97,920"
10/9/2020,"97,483"
10/13/2020,"98,503"
10/14/2020,"99,334"
10/15/2020,"99,054"
