x1,x2
1/2/2020,"44,437.23"
1/3/2020,"44,624.85"
1/6/2020,"44,495.30"
1/7/2020,"44,157.81"
1/8/2020,"44,470.91"
1/9/2020,"44,572.17"
1/10/2020,"44,660.33"
1/13/2020,"44,847.47"
1/14/2020,"44,773.24"
1/15/2020,"44,453.33"
1/16/2020,"45,303.08"
1/17/2020,"45,817.76"
1/20/2020,"45,902.68"
1/21/2020,"45,637.32"
1/22/2020,"45,604.44"
1/23/2020,"45,476.43"
1/24/2020,"45,141.62"
1/27/2020,"44,134.39"
1/28/2020,"44,717.94"
1/29/2020,"45,132.60"
1/30/2020,"44,862.76"
1/31/2020,"44,108.31"
2/4/2020,"45,047.07"
2/5/2020,"44,782.86"
2/6/2020,"44,493.15"
2/7/2020,"44,399.33"
2/10/2020,"44,290.53"
2/11/2020,"45,027.41"
2/12/2020,"45,338.37"
2/13/2020,"45,005.12"
2/14/2020,"44,999.68"
2/17/2020,"45,016.96"
2/18/2020,"44,974.11"
2/19/2020,"44,901.50"
2/20/2020,"44,774.54"
2/21/2020,"44,802.54"
2/24/2020,"43,818.07"
2/25/2020,"43,045.68"
2/26/2020,"42,737.28"
2/27/2020,"41,607.42"
2/28/2020,"41,324.31"
3/2/2020,"42,167.24"
3/3/2020,"42,472.25"
3/4/2020,"43,404.76"
3/5/2020,"42,344.86"
3/6/2020,"41,388.78"
3/9/2020,"38,730.56"
3/10/2020,"39,565.44"
3/11/2020,"38,678.55"
3/12/2020,"36,636.70"
3/13/2020,"38,085.05"
3/17/2020,"36,862.84"
3/18/2020,"35,532.74"
3/19/2020,"35,143.63"
3/20/2020,"34,269.51"
3/23/2020,"32,964.22"
3/24/2020,"34,371.53"
3/25/2020,"35,536.70"
3/26/2020,"35,706.57"
3/27/2020,"33,799.49"
3/30/2020,"34,199.97"
3/31/2020,"34,554.53"
4/1/2020,"33,691.88"
4/2/2020,"33,590.62"
4/3/2020,"33,075.41"
4/6/2020,"34,381.56"
4/7/2020,"34,526.31"
4/8/2020,"34,567.78"
4/13/2020,"34,613.67"
4/14/2020,"34,746.39"
4/15/2020,"33,855.24"
4/16/2020,"33,759.75"
4/17/2020,"34,743.10"
4/20/2020,"34,477.06"
4/21/2020,"33,892.28"
4/22/2020,"34,223.85"
4/23/2020,"34,240.60"
4/24/2020,"34,586.82"
4/27/2020,"34,968.09"
4/28/2020,"35,830.81"
4/29/2020,"36,870.09"
4/30/2020,"36,470.11"
5/4/2020,"36,370.43"
5/5/2020,"36,616.06"
5/6/2020,"36,986.20"
5/7/2020,"36,792.41"
5/8/2020,"37,623.68"
5/11/2020,"37,631.89"
5/12/2020,"37,462.89"
5/13/2020,"36,394.59"
5/14/2020,"36,094.14"
5/15/2020,"35,691.39"
5/18/2020,"37,112.46"
5/19/2020,"35,862.04"
5/20/2020,"36,026.98"
5/21/2020,"35,560.76"
5/22/2020,"35,784.42"
5/25/2020,"35,832.77"
5/26/2020,"36,206.86"
5/27/2020,"36,889.96"
5/28/2020,"36,508.14"
5/29/2020,"36,122.73"
6/1/2020,"36,980.85"
6/2/2020,"37,460.44"
6/3/2020,"38,290.77"
6/4/2020,"37,872.89"
6/5/2020,"38,948.08"
6/8/2020,"39,954.01"
6/9/2020,"39,185.66"
6/10/2020,"38,266.19"
6/11/2020,"36,827.36"
6/12/2020,"37,679.24"
6/15/2020,"37,416.74"
6/16/2020,"37,894.05"
6/17/2020,"37,897.24"
6/18/2020,"37,632.89"
6/19/2020,"38,404.63"
6/22/2020,"38,123.56"
6/23/2020,"38,217.68"
6/24/2020,"37,908.38"
6/25/2020,"37,734.52"
6/26/2020,"37,431.95"
6/29/2020,"37,769.19"
6/30/2020,"37,716.43"
7/1/2020,"37,619.77"
7/2/2020,"37,894.08"
7/3/2020,"37,950"
7/6/2020,"37,884.76"
7/7/2020,"37,837.39"
7/8/2020,"37,483.88"
7/9/2020,"36,795.95"
7/10/2020,"36,465.46"
7/13/2020,"36,389.39"
7/14/2020,"36,190.91"
