"","Year","Month","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","NYC","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"1",2020,1,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,6,0,0,0
"2",2020,2,133,999,560,1288,8119,2966,3128,495,319,6490,4234,283,497,525,5992,2159,428,591,5237,6619,1660,303,7615,689,1382,1073,203,1498,126,177,367,18696,315,1113,32656,41771,2199,1626,689,4843,579,1132,108,2239,3266,934,1484,293,4889,1351,162,120
"3",2020,3,222,6307,2695,6359,40786,12216,24572,3828,4415,27200,21005,324,6648,1490,46924,15676,3810,4117,22807,55585,21812,820,33764,4447,6244,6139,250,9011,941,4104,1779,99957,3096,3894,104238,120441,15828,2785,1820,40920,8482,5065,2341,8496,24821,3819,15417,573,9431,5503,963,439
"4",2020,4,105,10939,3998,12288,61666,11196,14501,4478,4872,21074,20371,37,12407,824,67342,16739,5481,4996,11872,34760,29855,1226,16018,20072,5535,8540,62,18081,1510,9820,2505,42154,4278,3603,30573,43343,17486,2980,1733,26519,5885,6195,2544,12424,36200,5191,28497,115,7375,11549,885,344
"5",2020,5,480,19819,13524,59279,112334,6337,4313,1526,1904,95017,36065,264,9395,3278,23978,11020,4724,5920,18179,11917,14591,945,13331,11508,8248,12148,503,36147,999,5076,1131,11871,4458,10074,10808,11464,16276,11550,4413,14960,1865,25183,1771,20350,95699,12802,17389,227,11122,13259,895,584
"6",2020,6,2050,49803,21734,94795,270671,14094,3296,1799,3367,315249,109057,1264,15635,14604,35880,20560,13369,14527,58185,8730,21447,643,19846,18472,28924,31981,2947,58344,3026,7034,801,11286,8453,29628,11591,9748,39370,23577,9837,25694,2286,53682,2000,62450,260960,18051,28014,206,22979,25272,3737,1239
"7",2020,7,2273,38191,18713,27825,210497,10615,3069,1866,2658,151599,90035,6450,20241,11367,56607,28042,14800,18245,32614,10590,19498,611,22451,20676,34511,23703,3528,47003,5398,8076,692,11506,4752,21172,10653,8497,31998,20617,8220,21089,2812,32336,4745,48974,192023,11995,30814,215,18832,23634,3608,1116
"8",2020,8,2561,28643,22473,16672,106540,13112,4671,1334,3078,81422,54948,3858,24007,9960,59038,25823,17137,20444,18564,11447,16647,883,24989,23270,47305,15302,5900,40548,10218,11277,991,15118,4083,10601,14089,10198,30830,30657,6796,24942,3064,25418,8880,41206,135998,20250,27106,126,12887,48555,5598,2106
"9",2020,9,7450,37584,28493,27439,111380,36814,13657,1940,4513,93946,53276,2515,39136,22560,120796,59339,25432,38379,19191,24768,20635,1237,59392,49338,60584,21614,19408,64003,22825,25168,2818,39343,17055,20678,29663,21166,61710,39427,11412,49060,8982,28921,23603,64533,151629,41614,33672,402,19979,108747,8612,7350
"10",2020,10,16049,57239,45169,80871,290963,125555,46088,4286,11217,191373,82570,2713,101482,37090,309745,159619,72265,71822,45765,63808,54990,5308,191536,170291,127542,33911,29397,89877,34612,57675,9910,117852,50605,51406,91730,54436,205366,85788,30510,153451,24211,43301,34472,113821,310361,81050,57671,2015,57518,173860,23382,20007
"11",2020,11,14138,111702,67779,193390,1032411,101192,68413,7431,21721,317158,194889,3318,51221,39379,237085,172508,64987,86221,82861,141116,79084,12225,139679,96539,120664,63975,19357,175033,13115,38391,23034,160001,45769,72562,212153,117206,279317,105649,38478,278847,32413,101319,18700,212309,477740,80906,114703,3240,81733,108708,37492,11104
"12",2020,12,7137,98413,70130,238197,997969,59324,64315,7889,20007,389172,242993,4103,38578,21606,162912,115197,52252,97628,85351,138700,75417,15341,81517,46505,87143,57320,12394,217981,4913,23915,21667,169045,31200,53577,263125,176256,195412,83427,28507,202899,25533,143311,9086,141059,604460,70012,152873,4553,66048,71702,35667,7503
"13",2021,1,3391,33613,27147,58378,232214,34882,29923,3726,8728,184454,97076,1592,17082,8457,60395,34991,18978,41732,29474,52157,27066,5221,35412,22787,29751,19288,6005,101022,2169,10169,9729,92527,11068,15446,107667,115421,71630,24150,13181,88418,10436,57827,4177,47143,283392,24611,69534,3233,27456,25227,10854,2482
"14",2021,2,4344,16015,7983,25029,89186,33778,30942,3915,8003,145346,53027,2013,14670,9396,57889,24824,8709,22254,14833,47875,30226,6025,100801,34044,19862,10423,4598,55584,3447,8464,8752,119460,6520,10008,107227,121996,50144,8921,9415,93215,11430,30214,5332,36838,139281,14406,43628,4325,24230,18674,9883,1916
"15",2021,3,2912,5593,3009,10614,45686,26947,18174,2066,5975,101887,23752,1526,8765,4233,54990,19088,3489,10161,7022,32029,23100,6497,127349,35007,10096,3769,2465,29561,2455,6951,7103,66888,3216,6473,63465,52333,34533,4282,9489,78759,6171,14344,3297,18642,51436,6868,25331,2346,21063,14908,6779,957
