t,Argentina_C,Brazil_C,Mexico_C,US_C
1/22/2020,0,0,0,1
1/23/2020,0,0,0,1
1/24/2020,0,0,0,2
1/25/2020,0,0,0,2
1/26/2020,0,0,0,5
1/27/2020,0,0,0,5
1/28/2020,0,0,0,5
1/29/2020,0,0,0,6
1/30/2020,0,0,0,6
1/31/2020,0,0,0,8
2/1/2020,0,0,0,8
2/2/2020,0,0,0,8
2/3/2020,0,0,0,11
2/4/2020,0,0,0,11
2/5/2020,0,0,0,11
2/6/2020,0,0,0,12
2/7/2020,0,0,0,12
2/8/2020,0,0,0,12
2/9/2020,0,0,0,12
2/10/2020,0,0,0,12
2/11/2020,0,0,0,13
2/12/2020,0,0,0,13
2/13/2020,0,0,0,14
2/14/2020,0,0,0,14
2/15/2020,0,0,0,14
2/16/2020,0,0,0,14
2/17/2020,0,0,0,14
2/18/2020,0,0,0,14
2/19/2020,0,0,0,14
2/20/2020,0,0,0,14
2/21/2020,0,0,0,16
2/22/2020,0,0,0,16
2/23/2020,0,0,0,16
2/24/2020,0,0,0,16
2/25/2020,0,0,0,16
2/26/2020,0,1,0,16
2/27/2020,0,1,0,17
2/28/2020,0,1,1,17
2/29/2020,0,2,4,25
3/1/2020,0,2,5,32
3/2/2020,0,2,5,55
3/3/2020,1,2,5,74
3/4/2020,1,4,5,107
3/5/2020,1,4,5,184
3/6/2020,2,13,6,237
3/7/2020,8,13,6,403
3/8/2020,12,20,7,519
3/9/2020,12,25,7,594
3/10/2020,17,31,7,782
3/11/2020,19,38,8,1147
3/12/2020,19,52,12,1586
3/13/2020,31,151,26,2219
3/14/2020,34,151,41,2978
3/15/2020,45,162,53,3212
3/16/2020,56,200,82,4679
3/17/2020,68,321,93,6512
3/18/2020,79,372,118,9169
3/19/2020,97,621,164,13663
3/20/2020,128,793,203,20030
3/21/2020,158,1021,251,26025
3/22/2020,266,1546,316,34898
3/23/2020,301,1924,367,46136
3/24/2020,387,2247,405,56755
3/25/2020,387,2554,475,68837
3/26/2020,502,2985,585,86693
3/27/2020,589,3417,717,105383
3/28/2020,690,3904,848,125013
3/29/2020,745,4256,993,143912
3/30/2020,820,4579,1094,165987
3/31/2020,1054,5717,1215,192301
4/1/2020,1054,6836,1378,224560
4/2/2020,1133,8044,1510,256792
4/3/2020,1265,9056,1688,289087
4/4/2020,1451,10360,1890,321477
4/5/2020,1451,11130,2143,351354
4/6/2020,1554,12161,2439,382747
4/7/2020,1628,14034,2785,413516
4/8/2020,1715,16170,3181,444731
4/9/2020,1795,18092,3441,480667
4/10/2020,1975,19638,3844,515081
4/11/2020,1975,20727,4219,544183
4/12/2020,2142,22192,4661,571440
4/13/2020,2208,23430,5014,598380
4/14/2020,2277,25262,5399,627205
4/15/2020,2443,28320,5847,652611
4/16/2020,2571,30425,6297,682626
4/17/2020,2669,33682,6875,715656
4/18/2020,2758,36658,7497,743588
4/19/2020,2839,38654,8261,769684
4/20/2020,2941,40743,8772,799512
4/21/2020,3031,43079,9501,825429
4/22/2020,3144,45757,10544,854288
4/23/2020,3435,50036,11633,887858
4/24/2020,3607,54043,12872,920185
4/25/2020,3780,59324,13842,950581
4/26/2020,3892,63100,14677,977082
4/27/2020,4003,67446,15529,1000785
4/28/2020,4127,73235,16752,1025362
4/29/2020,4285,79685,17799,1051800
4/30/2020,4428,87187,19224,1081020
5/1/2020,4532,92202,20739,1115946
5/2/2020,4681,97100,22088,1143296
5/3/2020,4783,101826,23471,1167593
5/4/2020,4887,108620,24905,1191678
5/5/2020,5020,115455,26025,1216209
5/6/2020,5208,126611,27634,1240769
